name,TimePeriod,HDI,Population,"Electronic Waste Recycling, per capita (Kg)","Electronic Waste Generated, per capita (Kg)"
Albania,2010,0.785,2877.797,,4.391893
Albania,2011,0.785,2877.797,,4.857921
Albania,2012,0.785,2877.797,,5.310308
Albania,2013,0.785,2877.797,3.2374952992436,5.74093
Albania,2014,0.785,2877.797,4.24264416721017,6.11255
Albania,2015,0.785,2877.797,4.88907893516884,6.451386
Albania,2016,0.785,2877.797,5.10376168044436,6.736817
Albania,2017,0.785,2877.797,5.30301099172759,6.994344
Albania,2018,0.785,2877.797,5.47706700719976,7.225346000000001
Albania,2019,0.785,2877.797,5.63970879960623,7.445564
Antigua and Barbuda,2010,0.78,97.929,,9.656717
Antigua and Barbuda,2011,0.78,97.929,,10.053237
Antigua and Barbuda,2012,0.78,97.929,,10.565936
Antigua and Barbuda,2013,0.78,97.929,,10.942302
Antigua and Barbuda,2014,0.78,97.929,11.883926449298801,11.279356
Antigua and Barbuda,2015,0.78,97.929,11.7557790341024,11.584001
Antigua and Barbuda,2016,0.78,97.929,12.0789206834532,11.889545
Antigua and Barbuda,2017,0.78,97.929,12.385939858527601,12.173225
Antigua and Barbuda,2018,0.78,97.929,12.666955786128199,12.424686
Antigua and Barbuda,2019,0.78,97.929,12.948181321114099,12.672668
Argentina,2010,0.825,45195.774,,7.624459
Argentina,2011,0.825,45195.774,,8.011065
Argentina,2012,0.825,45195.774,,8.39244
Argentina,2013,0.825,45195.774,0.251208442954615,8.754692999999998
Argentina,2014,0.825,45195.774,0.260772118295468,9.082568
Argentina,2015,0.825,45195.774,0.26917343711782094,9.370018
Argentina,2016,0.825,45195.774,0.27734757919143893,9.649161
Argentina,2017,0.825,45195.774,0.285165033033668,9.909316
Argentina,2018,0.825,45195.774,0.291857688811043,10.127613
Argentina,2019,0.825,45195.774,0.29771319414010605,10.314614
Armenia,2010,0.755,2963.243,,3.178374
Armenia,2011,0.755,2963.243,,3.543604
Armenia,2012,0.755,2963.243,,3.907151
Armenia,2013,0.755,2963.243,,4.232077
Armenia,2014,0.755,2963.243,0.0036052702871134,4.538414
Armenia,2015,0.755,2963.243,0.0038167755290527,4.818295
Armenia,2016,0.755,2963.243,0.0040132697715748,5.082986
Armenia,2017,0.755,2963.243,0.0042077955330586,5.345047
Armenia,2018,0.755,2963.243,0.0043985332723975,5.600526
Armenia,2019,0.755,2963.243,0.0045653981704876,5.824781
Australia,2010,0.939,25499.884,,18.370894
Australia,2011,0.939,25499.884,,19.052264
Australia,2012,0.939,25499.884,1.79008416495477,19.696311
Australia,2013,0.939,25499.884,2.15910522942421,20.312306
Australia,2014,0.939,25499.884,1.8223098701472802,20.838522
Australia,2015,0.939,25499.884,2.25863630680607,21.241441
Australia,2016,0.939,25499.884,2.28829092508627,21.454979
Australia,2017,0.939,25499.884,2.30397192370563,21.548466
Australia,2018,0.939,25499.884,2.31543279535634,21.58937
Australia,2019,0.939,25499.884,2.333366735851,21.678603
Austria,2010,0.908,9006.398,8.829546447687822,18.284557
Austria,2011,0.908,9006.398,8.926952276932358,18.653612
Austria,2012,0.908,9006.398,9.10372925691259,18.981789
Austria,2013,0.908,9006.398,8.9800473131093,19.212565
Austria,2014,0.908,9006.398,9.021955948813748,19.321302
Austria,2015,0.908,9006.398,9.24635085088528,19.314339
Austria,2016,0.908,9006.398,9.69166964091572,19.188383
Austria,2017,0.908,9006.398,13.2059290454701,19.072706
Austria,2018,0.908,9006.398,13.1102681547966,18.937619
Austria,2019,0.908,9006.398,13.0180418303162,18.801624
Belarus,2010,0.808,9449.323,,5.249717
Belarus,2011,0.808,9449.323,,5.745123
Belarus,2012,0.808,9449.323,,6.243894
Belarus,2013,0.808,9449.323,,6.737419
Belarus,2014,0.808,9449.323,0.264002132373849,7.215344
Belarus,2015,0.808,9449.323,0.5912244067010861,7.656255
Belarus,2016,0.808,9449.323,0.480645140116527,8.082758
Belarus,2017,0.808,9449.323,0.656068480004672,8.484227
Belarus,2018,0.808,9449.323,0.685674146995302,8.914336999999998
Belarus,2019,0.808,9449.323,0.714098400524141,9.330043000000002
Belgium,2010,0.916,11589.623,9.649744691685088,19.311159
Belgium,2011,0.916,11589.623,10.4396642049199,19.519725
Belgium,2012,0.916,11589.623,10.5055724421996,19.781324
Belgium,2013,0.916,11589.623,11.077826138460699,19.989753
Belgium,2014,0.916,11589.623,11.1622295950754,20.185509
Belgium,2015,0.916,11589.623,11.2167585772804,20.303012
Belgium,2016,0.916,11589.623,11.2449729871405,20.340003
Belgium,2017,0.916,11589.623,11.2590311998018,20.408658
Belgium,2018,0.916,11589.623,11.2583126730289,20.412824
Belgium,2019,0.916,11589.623,11.2590020353875,20.410144
Bosnia and Herzegovina,2010,0.768,3280.819,,4.776097
Bosnia and Herzegovina,2011,0.768,3280.819,,5.249319
Bosnia and Herzegovina,2012,0.768,3280.819,,5.696619
Bosnia and Herzegovina,2013,0.768,3280.819,,6.095235
Bosnia and Herzegovina,2014,0.768,3280.819,0.318407021497909,6.477504
Bosnia and Herzegovina,2015,0.768,3280.819,0.337387641782932,6.817022
Bosnia and Herzegovina,2016,0.768,3280.819,0.353658566094836,7.094094
Bosnia and Herzegovina,2017,0.768,3280.819,0.36936262469663106,7.354027
Bosnia and Herzegovina,2018,0.768,3280.819,0.382439398976331,7.558136
Bosnia and Herzegovina,2019,0.768,3280.819,0.39686557974285297,7.79358
Brazil,2010,0.759,212559.417,,6.635138
Brazil,2011,0.759,212559.417,,7.113746
Brazil,2012,0.759,212559.417,0.0007025033989623,7.596754
Brazil,2013,0.759,212559.417,0.0007451771649705,8.060278999999998
Brazil,2014,0.759,212559.417,0.0007861860451737998,8.504065
Brazil,2015,0.759,212559.417,0.0008240737489816,8.911315
Brazil,2016,0.759,212559.417,0.0008594415820068,9.293867
Brazil,2017,0.759,212559.417,0.0008909102548634998,9.634845
Brazil,2018,0.759,212559.417,0.0009183446530499,9.936658
Brazil,2019,0.759,212559.417,0.0009434092195207002,10.212997
Bulgaria,2010,0.813,6948.445,6.06813915831235,7.778158999999999
Bulgaria,2011,0.813,6948.445,5.48094692634914,8.43522
Bulgaria,2012,0.813,6948.445,5.240109533574209,8.926517
Bulgaria,2013,0.813,6948.445,4.8232587462545,9.387282
Bulgaria,2014,0.813,6948.445,5.83936730020558,9.834158
Bulgaria,2015,0.813,6948.445,8.60961765419552,10.251079
Bulgaria,2016,0.813,6948.445,8.596399190821849,10.664581
Bulgaria,2017,0.813,6948.445,7.67242073582475,11.053948
Bulgaria,2018,0.813,6948.445,7.927840840885981,11.404886999999999
Bulgaria,2019,0.813,6948.445,8.17499732975891,11.741564
Cameroon,2010,0.556,26545.863,,0.532297
Cameroon,2011,0.556,26545.863,,0.595669
Cameroon,2012,0.556,26545.863,,0.655997
Cameroon,2013,0.556,26545.863,,0.712419
Cameroon,2014,0.556,26545.863,,0.767306
Cameroon,2015,0.556,26545.863,,0.821485
Cameroon,2016,0.556,26545.863,,0.878707
Cameroon,2017,0.556,26545.863,,0.933212
Cameroon,2018,0.556,26545.863,0.0019828474967006,0.98559
Cameroon,2019,0.556,26545.863,0.0020793034978183,1.034727
Canada,2010,0.926,37742.154,1.49644633529663,17.306115
Canada,2011,0.926,37742.154,2.5033545036248106,17.846378
Canada,2012,0.926,37742.154,2.0159194062911094,18.400338
Canada,2013,0.926,37742.154,2.6512427313332494,18.909352
Canada,2014,0.926,37742.154,2.3384704350884,19.335636
Canada,2015,0.926,37742.154,2.75593058675312,19.700475
Canada,2016,0.926,37742.154,2.78702035695738,19.911015
Canada,2017,0.926,37742.154,2.81370947776972,20.051541
Canada,2018,0.926,37742.154,2.83837164583324,20.137185
Canada,2019,0.926,37742.154,2.85936601424959,20.212898
Chile,2010,0.843,19116.201,,7.063691
Chile,2011,0.843,19116.201,,7.424132
Chile,2012,0.843,19116.201,,7.794726
Chile,2013,0.843,19116.201,,8.179748
Chile,2014,0.843,19116.201,,8.547679999999998
Chile,2015,0.843,19116.201,,8.875897
Chile,2016,0.843,19116.201,,9.173505
Chile,2017,0.843,19116.201,0.29777317101627493,9.462593
Chile,2018,0.843,19116.201,0.304508720089298,9.711654
Chile,2019,0.843,19116.201,0.31094577827658,9.932659
China,2010,0.752,1439323.776,,3.625474
China,2011,0.752,1439323.776,,4.107665
China,2012,0.752,1439323.776,,4.580867
China,2013,0.752,1439323.776,0.926801814176473,5.043269
China,2014,0.752,1439323.776,0.8616938990782061,5.467952
China,2015,0.752,1439323.776,0.922013390202614,5.852531
China,2016,0.752,1439323.776,0.9985507203156287,6.200781
China,2017,0.752,1439323.776,1.04150408266011,6.536213
China,2018,0.752,1439323.776,1.08290014659911,6.871619
China,2019,0.752,1439323.776,1.13909525259267,7.234441
Colombia,2010,0.747,50882.891,,4.47901
Colombia,2011,0.747,50882.891,,4.770651
Colombia,2012,0.747,50882.891,0.0087629591298202,5.050448
Colombia,2013,0.747,50882.891,0.032828878765279,5.314549
Colombia,2014,0.747,50882.891,0.0580077851790334,5.561171
Colombia,2015,0.747,50882.891,0.060053584980194,5.759705
Colombia,2016,0.747,50882.891,0.0615837212243151,5.920851
Colombia,2017,0.747,50882.891,0.0628106359120671,6.063256
Colombia,2018,0.747,50882.891,0.0638659279617413,6.191734
Colombia,2019,0.747,50882.891,0.0648415025172209,6.302878
Croatia,2010,0.831,4105.267,,8.444255999999998
Croatia,2011,0.831,4105.267,4.06158172153751,9.1194
Croatia,2012,0.831,4105.267,3.7680385505237695,9.521153
Croatia,2013,0.831,4105.267,3.51331071252279,9.886422
Croatia,2014,0.831,4105.267,3.6395099257011694,10.225007000000002
Croatia,2015,0.831,4105.267,5.61273498809555,10.569377
Croatia,2016,0.831,4105.267,9.22275781724659,10.889245
Croatia,2017,0.831,4105.267,8.7103353290235,11.252332
Croatia,2018,0.831,4105.267,8.94674636819733,11.565992
Croatia,2019,0.831,4105.267,9.18872549977616,11.888368
Cyprus,2010,0.869,1207.359,2.34492192731191,14.860854000000002
Cyprus,2011,0.869,1207.359,2.42257322616521,15.13849
Cyprus,2012,0.869,1207.359,2.21488820717398,15.266765
Cyprus,2013,0.869,1207.359,1.99586315180274,15.605757
Cyprus,2014,0.869,1207.359,1.98907052608832,16.075644
Cyprus,2015,0.869,1207.359,2.5521388267052,16.538557
Cyprus,2016,0.869,1207.359,2.09880626121079,16.733189
Cyprus,2017,0.869,1207.359,2.10499569122265,16.780209
Cyprus,2018,0.869,1207.359,2.10706832556661,16.756705
Cyprus,2019,0.869,1207.359,2.11019611304767,16.796339
Denmark,2010,0.929,5792.202,14.929478731105,21.271232
Denmark,2011,0.929,5792.202,15.1028662112348,21.738927
Denmark,2012,0.929,5792.202,13.5806871934654,22.157991
Denmark,2013,0.929,5792.202,12.7843307523458,22.495852
Denmark,2014,0.929,5792.202,12.633207272555198,22.70981
Denmark,2015,0.929,5792.202,12.7414108156615,22.790827
Denmark,2016,0.929,5792.202,12.467989157021801,22.742808
Denmark,2017,0.929,5792.202,12.171428561459901,22.658135
Denmark,2018,0.929,5792.202,12.1455097472571,22.562607
Denmark,2019,0.929,5792.202,12.1039628888488,22.392184
Ecuador,2010,0.752,17643.054,,4.019112
Ecuador,2011,0.752,17643.054,,4.34872
Ecuador,2012,0.752,17643.054,,4.661065
Ecuador,2013,0.752,17643.054,0.0019626326908218,4.96053
Ecuador,2014,0.752,17643.054,0.0017518489412376,5.217319
Ecuador,2015,0.752,17643.054,0.00139558162455,5.402073
Ecuador,2016,0.752,17643.054,0.0002507774489004,5.510777
Ecuador,2017,0.752,17643.054,0.0002957875900875,5.607573
Ecuador,2018,0.752,17643.054,0.0002834113940125,5.679602
Ecuador,2019,0.752,17643.054,0.0002857717290033,5.74125
El Salvador,2010,0.674,6486.205,,3.786208
El Salvador,2011,0.674,6486.205,,4.085776
El Salvador,2012,0.674,6486.205,0.08977348546519182,4.355501
El Salvador,2013,0.674,6486.205,0.0951335724303376,4.596921
El Salvador,2014,0.674,6486.205,0.0999499433212118,4.808834
El Salvador,2015,0.674,6486.205,0.104491624587102,5.005167
El Salvador,2016,0.674,6486.205,0.108600043548463,5.178569
El Salvador,2017,0.674,6486.205,0.11178905700640698,5.307812
El Salvador,2018,0.674,6486.205,0.114685687786766,5.424523
El Salvador,2019,0.674,6486.205,0.117720479581005,5.546408
Estonia,2010,0.871,1326.535,4.22639991051743,10.263643
Estonia,2011,0.871,1326.535,4.98229646584584,10.665497
Estonia,2012,0.871,1326.535,4.13025454913718,11.05067
Estonia,2013,0.871,1326.535,3.5312811773161,11.422889
Estonia,2014,0.871,1326.535,3.90496500346052,11.763486
Estonia,2015,0.871,1326.535,4.29321919214189,12.062478
Estonia,2016,0.871,1326.535,9.815367483803728,12.326725
Estonia,2017,0.871,1326.535,9.60065606125259,12.578251
Estonia,2018,0.871,1326.535,9.77174306398077,12.81713
Estonia,2019,0.871,1326.535,9.949037843350688,13.076668
Finland,2010,0.92,5540.72,9.47988215701563,17.073976
Finland,2011,0.92,5540.72,9.7418644328164,17.53633
Finland,2012,0.92,5540.72,9.78287347068729,17.938941
Finland,2013,0.92,5540.72,10.6488638319215,18.282987
Finland,2014,0.92,5540.72,12.087354730738001,18.580912
Finland,2015,0.92,5540.72,11.4107898958024,18.860921
Finland,2016,0.92,5540.72,10.952916066568699,19.126543
Finland,2017,0.92,5540.72,11.8672809601674,19.37526
Finland,2018,0.92,5540.72,12.014443612185199,19.580713
Finland,2019,0.92,5540.72,12.180640415432698,19.817826
France,2010,0.901,65273.511,6.90143462415871,17.905834
France,2011,0.901,65273.511,7.437131012891051,18.518194
France,2012,0.901,65273.511,7.4028434611268095,19.045011
France,2013,0.901,65273.511,7.50770958451327,19.459005
France,2014,0.901,65273.511,8.144011353165538,19.786407
France,2015,0.901,65273.511,9.57905980578712,20.090858
France,2016,0.901,65273.511,11.1640003903037,20.38895
France,2017,0.901,65273.511,11.448245381853098,20.644066
France,2018,0.901,65273.511,11.5619686207888,20.862179
France,2019,0.901,65273.511,11.641030031584101,20.954005
